"GeneA","GeneB"
"HMMR","GMNN"
"HMMR","CSNK1A1"
"HMMR","PTBP3"
"HMMR","ITIH5"
"HMMR","EPHB2"
"HMMR","MYC"
"HMMR","TUBB2A"
"HMMR","BARD1"
"HMMR","CDH13"
"HMMR","CEP170"
"HMMR","THRSP"
"HMMR","RAB28"
"HMMR","IL24"
"HMMR","TUBA1A"
"HMMR","MORN4"
"HMMR","JUN"
"HMMR","LRRK2"
"HMMR","SVIL"
"HMMR","CALM1"
"HMMR","CSNK1E"
"TRHDE","FKBP14"
"TRHDE","DNAJB9"
"TRHDE","EMILIN2"
"TRHDE","TMTC3"
"TRHDE","TSPAN3"
"TRHDE","MANEA"
"TRHDE","MAN1A2"
"P4HA2","HSCB"
"P4HA2","CREB3"
"P4HA2","CPSF3"
"P4HA2","TNS4"
"P4HA2","NEK7"
"P4HA2","FHL3"
"P4HA2","P4HB"
"P4HA2","H2AFX"
"FCGR2B","MAPK3"
"FCGR2B","PTPN6"
"FCGR2B","PLCG1"
"FCGR2B","LGALS3"
"FCGR2B","BLK"
"FCGR2B","FCGR2A"
"FCGR2B","SHC1"
"FCGR2B","LY6E"
"FCGR2B","INPPL1"
"FCGR2B","CRK"
"FCGR2B","GRB2"
"FCGR2B","SRC"
"FCGR2B","LYN"
"NFATC3","CEP128"
"NFATC3","CDK6"
"NFATC3","ZMIZ1"
"NFATC3","CSNK1A1"
"NFATC3","NCOA3"
"NFATC3","TTF1"
"NFATC3","EGLN3"
"NFATC3","FOS"
"NFATC3","JUN"
"ACADVL","ACTB"
"ACADVL","HSP90AA1"
"ACADVL","SIRT4"
"ACADVL","EEF2K"
"ACADVL","C1QBP"
"ACADVL","ACTN4"
"ACADVL","LMNA"
"ACADVL","ACTG2"
"ACADVL","ALB"
"ACADVL","KRT1"
"ACADVL","CTNNB1"
"ACADVL","CDK1"
"ACADVL","KRT8"
"ACADVL","PA2G4"
"ACADVL","PIPOX"
"ACADVL","TGM2"
"ACADVL","HSPA1B"
"ACADVL","HSPA1A"
"STK10","CD81"
"STK10","KIFC1"
"ACAP1","NEBL"
"ACAP1","ABL1"
"ACAP1","ITGB1"
"ACAP1","RABGAP1L"
"ACAP1","GRB2"
"ACAP1","SRC"
"CRMP1","PAFAH1B3"
"CRMP1","NUFIP1"
"CRMP1","SEPHS1"
"CRMP1","DPYSL2"
"CRMP1","RPS6KA5"
"CRMP1","TSC22D1"
"CRMP1","SMPD3"
"CRMP1","EEF1D"
"CRMP1","AGR2"
"CRMP1","CDK5RAP3"
"CRMP1","PFN1"
"CRMP1","NAT9"
"CRMP1","NFKB1"
"CRMP1","ALDH2"
"CRMP1","DPYSL3"
"CRMP1","RTN4"
"CRMP1","HSPE1"
"CRMP1","RGS2"
"CRMP1","RPA2"
"CRMP1","EXOSC8"
"CRMP1","DUSP4"
"CRMP1","EIF2S2"
"CRMP1","SAT1"
"CRMP1","SWAP70"
"CRMP1","CDCA8"
"CRMP1","SPRY2"
"CRMP1","CDK5RAP2"
"CRMP1","IL33"
"CRMP1","LRRC1"
"CRMP1","CACNA1A"
"CRMP1","HAX1"
"CRMP1","ATP6V1B2"
"CRMP1","AMFR"
"CRMP1","GNE"
"CRMP1","FUBP1"
"CRMP1","GOLGA2"
"CRMP1","HDHD2"
"CRMP1","TK1"
"CRMP1","FTH1"
"CRMP1","SERPINB9"
"CRMP1","ZNF24"
"CRMP1","PLA2G2A"
"CRMP1","HMGB1"
"CRMP1","SRC"
"CRMP1","PARVA"
"CRMP1","NTRK1"
"CRMP1","RGL2"
"DERL2","LLGL2"
"DERL2","HSCB"
"DERL2","EMC2"
"DERL2","RTN4"
"DERL2","TCTN3"
"DERL2","MASTL"
"DERL2","EMC3"
"DERL2","POR"
"DERL2","REEP5"
"DERL2","MPP1"
"DERL2","EDEM1"
"DERL2","STT3A"
"DERL2","OS9"
"DERL2","HEY2"
"DERL2","DERL1"
"DERL2","ESYT1"
"DERL2","RTN1"
"DERL2","ARL6IP5"
"DERL2","FZD1"
"DERL2","SYVN1"
"DERL2","HEY1"
"DERL2","SERPINA1"
"DERL2","SFT2D1"
"DERL2","UBE2J1"
"TMEM38A","NCEH1"
"TMEM38A","OXLD1"
"AP1M1","GTSE1"
"AP1M1","DCX"
"AP1M1","MID2"
"AP1M1","ITGB5"
"AP1M1","CDC45"
"AP1M1","HOOK2"
"AP1M1","TFIP11"
"AP1M1","GRAP2"
"AP1M1","DICER1"
"AP1M1","CST3"
"AP1M1","TSC22D1"
"AP1M1","IGDCC4"
"AP1M1","RNASEH2A"
"AP1M1","SLC1A5"
"AP1M1","BBC3"
"AP1M1","AP1S1"
"AP1M1","SETX"
"AP1M1","LZTS2"
"AP1M1","CPD"
"AP1M1","DCPS"
"AP1M1","APOC3"
"AP1M1","PRKAB1"
"AP1M1","BACH2"
"AP1M1","FN1"
"AP1M1","RNF19B"
"AP1M1","RLF"
"AP1M1","SSX2IP"
"AP1M1","APOA1"
"AP1M1","TTR"
"AP1M1","CA14"
"AP1M1","OBSL1"
"AP1M1","TTPAL"
"AP1M1","NCOA3"
"AP1M1","SDCBP2"
"AP1M1","FXR2"
"AP1M1","AP1M2"
"AP1M1","APOE"
"AP1M1","APOC1"
"AP1M1","BST2"
"AP1M1","UBA1"
"AP1M1","SH3BP5"
"AP1M1","AMPD3"
"AP1M1","CABLES1"
"AP1M1","PHC2"
"AP1M1","CTSL"
"AP1M1","RNASEH2B"
"AP1M1","DERL1"
"AP1M1","TLR2"
"AP1M1","BCAR3"
"AP1M1","CLCA2"
"AP1M1","ETV6"
"AP1M1","AHSG"
"AP1M1","TIFA"
"AP1M1","TNIP1"
"AP1M1","EGFR"
"AP1M1","GSN"
"AP1M1","SERPING1"
"AP1M1","ATM"
"AP1M1","MPZL2"
"AP1M1","SACS"
"AP1M1","RANBP2"
"AP1M1","KCNMA1"
"AP1M1","TIAM1"
"AP1M1","PCDH1"
"AP1M1","NECAP2"
"AP1M1","GPRASP2"
"AP1M1","APOA2"
"AP1M1","PIGR"
"AP1M1","ALB"
"AP1M1","PPBP"
"AP1M1","CDCP1"
"AP1M1","ITGA2"
"AP1M1","KRT1"
"AP1M1","ZNF232"
"AP1M1","AXIN2"
"AP1M1","ZBTB43"
"AP1M1","FAM161A"
"AP1M1","KRT13"
"AP1M1","FGA"
"AP1M1","TLN2"
"AP1M1","EFEMP2"
"AP1M1","ADGRG2"
"AP1M1","GCSAM"
"AP1M1","KIAA1551"
"AP1M1","FAM9B"
"AP1M1","PCED1B"
"AP1M1","F2"
"AP1M1","LDOC1"
"AP1M1","AP1S2"
"AP1M1","PDE4B"
"AP1M1","KRT6B"
"AP1M1","IKZF1"
"AP1M1","LAMP1"
"AP1M1","KRT5"
"AP1M1","KRT10"
"AP1M1","HEXIM1"
"AP1M1","KRT14"
"AP1M1","ZNF292"
"AP1M1","ZBTB44"
"AP1M1","ZNF655"
"AP1M1","CFD"
"AP1M1","MYL4"
"AP1M1","NTRK1"
"AP1M1","DZIP3"
"AP1M1","KRT40"
"AP1M1","KRT6A"
"PVR","PLA2G3"
"PVR","TJP1"
"PVR","AP1M2"
"PVR","CD96"
"PVR","TMEM79"
"PVR","DYNLT3"
"MCM2","PICALM"
"MCM2","TIPIN"
"MCM2","SEMA3A"
"MCM2","FSCN1"
"MCM2","MCM6"
"MCM2","DNAJC10"
"MCM2","UBE2D4"
"MCM2","DDX1"
"MCM2","CPOX"
"MCM2","PKP1"
"MCM2","UBA5"
"MCM2","ME2"
"MCM2","HAL"
"MCM2","GSTP1"
"MCM2","CAD"
"MCM2","CPNE3"
"MCM2","ORC1"
"MCM2","TXNDC16"
"MCM2","PHACTR3"
"MCM2","FKBP1A"
"MCM2","DHX32"
"MCM2","LYZ"
"MCM2","PABPC4"
"MCM2","DTX2"
"MCM2","ORC6"
"MCM2","PSME1"
"MCM2","TGM1"
"MCM2","PHGDH"
"MCM2","EZR"
"MCM2","DPYSL2"
"MCM2","CDC45"
"MCM2","CDC6"
"MCM2","MAP3K1"
"MCM2","DSP"
"MCM2","CDC7"
"MCM2","H2AFY2"
"MCM2","SLC25A1"
"MCM2","LGALS1"
"MCM2","KDELR3"
"MCM2","XBP1"
"MCM2","MYH9"
"MCM2","IL2RB"
"MCM2","PYGL"
"MCM2","GNPNAT1"
"MCM2","MTHFD1"
"MCM2","PPP4R3A"
"MCM2","DHRS2"
"MCM2","SEC23A"
"MCM2","PYGB"
"MCM2","EEF1A2"
"MCM2","SEC23B"
"MCM2","MYL9"
"MCM2","EMD"
"MCM2","PGK1"
"MCM2","MAGED2"
"MCM2","MAPK3"
"MCM2","COTL1"
"MCM2","CPPED1"
"MCM2","CSK"
"MCM2","EHD4"
"MCM2","GSR"
"MCM2","NEFM"
"MCM2","MCM4"
"MCM2","ASF1B"
"MCM2","KDELR1"
"MCM2","CDK6"
"MCM2","RPA3"
"MCM2","SPIN1"
"MCM2","ACTA2"
"MCM2","NPM3"
"MCM2","SMC3"
"MCM2","PFN1"
"MCM2","SLC25A11"
"MCM2","C1QBP"
"MCM2","BLMH"
"MCM2","LGALS3BP"
"MCM2","CCL2"
"MCM2","RPL34"
"MCM2","CCND1"
"MCM2","TMEM109"
"MCM2","CHORDC1"
"MCM2","MAGOHB"
"MCM2","ASF1A"
"MCM2","MCM3"
"MCM2","BAG2"
"MCM2","PRSS16"
"MCM2","LMNB1"
"MCM2","SUB1"
"MCM2","RAD50"
"MCM2","KAT2B"
"MCM2","ACTR3"
"MCM2","CENPA"
"MCM2","ITGA4"
"MCM2","FN1"
"MCM2","RPL22"
"MCM2","QSOX1"
"MCM2","SFPQ"
"MCM2","IVNS1ABP"
"MCM2","PRDX1"
"MCM2","RPA2"
"MCM2","KIF14"
"MCM2","GDA"
"MCM2","FKBP15"
"MCM2","FAM98A"
"MCM2","HSPH1"
"MCM2","CLU"
"MCM2","TARDBP"
"MCM2","CSTA"
"MCM2","CAT"
"MCM2","GJA3"
"MCM2","CDK2"
"MCM2","HJURP"
"MCM2","ACSL3"
"MCM2","OBSL1"
"MCM2","SERPINB6"
"MCM2","HIST1H2BJ"
"MCM2","SOX4"
"MCM2","DSTN"
"MCM2","HSPA2"
"MCM2","UBR4"
"MCM2","MACF1"
"MCM2","TUBA4A"
"MCM2","PAICS"
"MCM2","SDF2L1"
"MCM2","CALU"
"MCM2","PALLD"
"MCM2","SPCS3"
"MCM2","SNX9"
"MCM2","CAP1"
"MCM2","TNS4"
"MCM2","SNRPA1"
"MCM2","LANCL2"
"MCM2","H3F3B"
"MCM2","PCNA"
"MCM2","CCNA1"
"MCM2","ACTR3B"
"MCM2","IAH1"
"MCM2","NARS"
"MCM2","DOCK2"
"MCM2","YARS"
"MCM2","PHC2"
"MCM2","DSC3"
"MCM2","ANXA1"
"MCM2","P2RX4"
"MCM2","SYNCRIP"
"MCM2","CDK4"
"MCM2","GLUL"
"MCM2","DHX9"
"MCM2","CKAP4"
"MCM2","TBRG4"
"MCM2","IL36G"
"MCM2","DERL1"
"MCM2","TLN1"
"MCM2","TUBB2A"
"MCM2","TUBB2B"
"MCM2","GGH"
"MCM2","LRPPRC"
"MCM2","CPNE8"
"MCM2","CUL4A"
"MCM2","IQGAP1"
"MCM2","CRTC3"
"MCM2","CPNE2"
"MCM2","FN3KRP"
"MCM2","APP"
"MCM2","NOSIP"
"MCM2","MGST3"
"MCM2","PFDN2"
"MCM2","HMCN1"
"MCM2","S100A8"
"MCM2","OCIAD2"
"MCM2","MMS22L"
"MCM2","MSN"
"MCM2","RBMX"
"MCM2","TERF1"
"MCM2","CDKN2A"
"MCM2","GLUD1"
"MCM2","SERPINH1"
"MCM2","ATM"
"MCM2","DCP1B"
"MCM2","ANK3"
"MCM2","SLC25A4"
"MCM2","DST"
"MCM2","POC5"
"MCM2","UTRN"
"MCM2","CARHSP1"
"MCM2","HNRNPU"
"MCM2","RANBP2"
"MCM2","PPP2R2B"
"MCM2","EEF1A1"
"MCM2","UBE2L6"
"MCM2","CUL4B"
"MCM2","HIST1H4H"
"MCM2","COPG2"
"MCM2","TAGLN2"
"MCM2","CDA"
"MCM2","CHAF1B"
"MCM2","PIP"
"MCM2","CSTB"
"MCM2","AZGP1"
"MCM2","MPP3"
"MCM2","VCAM1"
"MCM2","ACTG2"
"MCM2","S100A11"
"MCM2","S100A9"
"MCM2","PYHIN1"
"MCM2","RPL22L1"
"MCM2","TKT"
"MCM2","RPS14"
"MCM2","RAD21"
"MCM2","ORC5"
"MCM2","HPRT1"
"MCM2","PTER"
"MCM2","NOLC1"
"MCM2","SERPINB8"
"MCM2","RPL27A"
"MCM2","WEE1"
"MCM2","MCM7"
"MCM2","TERF2IP"
"MCM2","MARS"
"MCM2","PDIA3"
"MCM2","TPM4"
"MCM2","CDT1"
"MCM2","RPL13"
"MCM2","TUBA1A"
"MCM2","TUBA1C"
"MCM2","CHAF1A"
"MCM2","PRDX2"
"MCM2","SLC3A2"
"MCM2","CTNNB1"
"MCM2","NUDT16L1"
"MCM2","NT5DC2"
"MCM2","ARF4"
"MCM2","MAT2A"
"MCM2","SLC25A6"
"MCM2","CCDC8"
"MCM2","FASN"
"MCM2","CHD3"
"MCM2","PA2G4"
"MCM2","SERPINB9"
"MCM2","ZNF318"
"MCM2","TCEA2"
"MCM2","CFL1"
"MCM2","GLRX"
"MCM2","JUP"
"MCM2","RPL15"
"MCM2","ATR"
"MCM2","CSRP2"
"MCM2","RUVBL1"
"MCM2","SFN"
"MCM2","TUBB6"
"MCM2","LMNB2"
"MCM2","JUN"
"MCM2","GRB2"
"MCM2","IMPDH2"
"MCM2","CALML5"
"MCM2","CPNE7"
"MCM2","RCC2"
"MCM2","FARSA"
"MCM2","CALR"
"MCM2","HIST1H2AC"
"MCM2","MUC16"
"MCM2","HIST3H2A"
"MCM2","SIAH2"
"MCM2","COPG1"
"MCM2","GINS3"
"MCM2","ANXA2"
"MCM2","NEB"
"MCM2","UPP1"
"MCM2","ALDH1A3"
"MCM2","HIST2H2BE"
"MCM2","RPS27L"
"MCM2","KRT6B"
"MCM2","BRCC3"
"MCM2","P4HB"
"MCM2","KRT5"
"MCM2","TCEA1"
"MCM2","ZFP69B"
"MCM2","HIST1H1C"
"MCM2","TUBB4B"
"MCM2","H2AFX"
"MCM2","NCCRP1"
"MCM2","SBSN"
"MCM2","S100A14"
"MCM2","SPATS2L"
"MCM2","TUBB"
"MCM2","PPIA"
"MCM2","HBG2"
"MCM2","KPNA5"
"MCM2","HIST1H4C"
"MCM2","SND1"
"MCM2","HIST1H3D"
"MCM2","RPS26"
"MCM2","MCMBP"
"MCM2","ATAD3A"
"MCM2","HIST1H2BK"
"MCM2","TUBA3C"
"MCM2","NTRK1"
"MCM2","YTHDF2"
"MCM2","STK39"
"MCM2","CALM1"
"MCM2","PNP"
"MCM2","TGM2"
"MCM2","HSPA1B"
"MCM2","HSPA1A"
"MCM2","IPO7"
"MCM2","PHB2"
"MCM2","PPP2R2A"
"MCM2","RPS18"
"MCM2","HIST1H2BN"
"MCM2","RPS28"
"MCM2","MIF"
"MCM2","HBB"
"MCM2","PDCD6"
"MCM2","PRKDC"
"TP63","SNRPA"
"TP63","PIK3C3"
"TP63","ITCH"
"TP63","CAD"
"TP63","MYL9"
"TP63","MYL12A"
"TP63","PLS3"
"TP63","JPH1"
"TP63","PPP1R13L"
"TP63","PIK3CG"
"TP63","DNAJB6"
"TP63","NFKB1"
"TP63","FBXW7"
"TP63","KAT2B"
"TP63","SATB2"
"TP63","WWP1"
"TP63","HIST1H1D"
"TP63","PIN1"
"TP63","FLNC"
"TP63","CABLES1"
"TP63","SYNCRIP"
"TP63","MDM2"
"TP63","DHX9"
"TP63","NIPSNAP3A"
"TP63","DAB2IP"
"TP63","RNF144B"
"TP63","YAP1"
"TP63","UACA"
"TP63","CENPE"
"TP63","PELI2"
"TP63","TP53BP2"
"TP63","GOLGA4"
"TP63","SH3KBP1"
"TP63","CDKN2A"
"TP63","UPF2"
"TP63","SACS"
"TP63","EEF1A1"
"TP63","IGF2BP1"
"TP63","RCHY1"
"TP63","PRKCD"
"TP63","MAP1A"
"TP63","CDT1"
"TP63","TUBA1C"
"TP63","FASN"
"TP63","CEBPB"
"TP63","SMAD2"
"TP63","SFN"
"TP63","ETV4"
"TP63","A2M"
"TP63","GRB2"
"TP63","S1PR5"
"TP63","WT1"
"TP63","KRT5"
"TP63","PELI1"
"TP63","ADH5"
"TP63","MDM4"
"TP63","ORM1"
"LLGL2","CELSR1"
"LLGL2","DLG1"
"LLGL2","RAP1GAP"
"LLGL2","EPB41L3"
"LLGL2","PPP1R15A"
"LLGL2","DNM1L"
"LLGL2","TYRO3"
"LLGL2","MAP3K1"
"LLGL2","EPB41L4B"
"LLGL2","PTGS1"
"LLGL2","SUSD2"
"LLGL2","CCM2L"
"LLGL2","CD99L2"
"LLGL2","CLN5"
"LLGL2","PARD6A"
"LLGL2","TOX3"
"LLGL2","SNX8"
"LLGL2","EZH2"
"LLGL2","ZMIZ1"
"LLGL2","GAB1"
"LLGL2","GALNT7"
"LLGL2","RAPGEF2"
"LLGL2","KCNA1"
"LLGL2","UST"
"LLGL2","PHACTR1"
"LLGL2","GPR63"
"LLGL2","CNTN3"
"LLGL2","HGD"
"LLGL2","OLFML3"
"LLGL2","PTBP3"
"LLGL2","PLEKHG1"
"LLGL2","TMEM54"
"LLGL2","BHLHE41"
"LLGL2","NFE2"
"LLGL2","WFDC3"
"LLGL2","PARD6B"
"LLGL2","PMEPA1"
"LLGL2","NKX2-2"
"LLGL2","PALLD"
"LLGL2","ECSIT"
"LLGL2","KIF1A"
"LLGL2","DNMT1"
"LLGL2","CCNB1"
"LLGL2","CDK7"
"LLGL2","TBX3"
"LLGL2","COQ10A"
"LLGL2","ITM2C"
"LLGL2","FLNB"
"LLGL2","SCN2A"
"LLGL2","KLF4"
"LLGL2","GABBR2"
"LLGL2","ENPP2"
"LLGL2","ADCY3"
"LLGL2","TACC2"
"LLGL2","MYPN"
"LLGL2","FRAS1"
"LLGL2","MARCH9"
"LLGL2","DIAPH3"
"LLGL2","RBM26"
"LLGL2","ABL2"
"LLGL2","TP53BP2"
"LLGL2","LYST"
"LLGL2","SH3KBP1"
"LLGL2","DIAPH2"
"LLGL2","ZCCHC7"
"LLGL2","ASAP1"
"LLGL2","IMPACT"
"LLGL2","TNIK"
"LLGL2","PIK3AP1"
"LLGL2","TMEM237"
"LLGL2","CACHD1"
"LLGL2","SIM2"
"LLGL2","ABR"
"LLGL2","GAB3"
"LLGL2","JAK1"
"LLGL2","PRKCI"
"LLGL2","RYBP"
"LLGL2","FOXQ1"
"LLGL2","GALNT10"
"LLGL2","SYTL3"
"LLGL2","NOLC1"
"LLGL2","MAP1A"
"LLGL2","KIFC2"
"LLGL2","SNTB2"
"LLGL2","MN1"
"LLGL2","ADRB2"
"LLGL2","NFRKB"
"LLGL2","USP32"
"LLGL2","SOX7"
"LLGL2","BPTF"
"LLGL2","RASGRP1"
"LLGL2","SMARCC1"
"LLGL2","ZNF622"
"LLGL2","EXO1"
"LLGL2","RIN1"
"LLGL2","SPHK1"
"LLGL2","RIMS2"
"LLGL2","NCKAP5"
"LLGL2","IMP3"
"LLGL2","STAP2"
"LLGL2","PARD6G"
"LLGL2","NEUROG2"
"LLGL2","CDH4"
"LLGL2","GCC1"
"LLGL2","HCLS1"
"LLGL2","RTKN2"
"LLGL2","C1S"
"LLGL2","ROBO2"
"LLGL2","IRF7"
"LLGL2","KLHDC8B"
"LLGL2","BCL9L"
"LLGL2","PCLO"
"LLGL2","NTNG2"
"LLGL2","PTPN1"
"LLGL2","AJAP1"
"LLGL2","SVIL"
"LLGL2","ENPP1"
"LLGL2","NMB"
"LLGL2","PRC1"
"LLGL2","PHACTR4"
"LLGL2","CEBPD"
"LLGL2","PNMA2"
"PDE8A","NPHP3"
"NLE1","H2AFY2"
"NLE1","MTHFD1"
"NLE1","MDN1"
"NLE1","GBE1"
"NLE1","OBSL1"
"NLE1","RPL15"
"NLE1","JUN"
"NLE1","THAP7"
"NLE1","SIRT7"
"SMARCE1","ACTB"
"SMARCE1","RARB"
"SMARCE1","TOP2B"
"SMARCE1","ITCH"
"SMARCE1","SMARCA2"
"SMARCE1","NCOA1"
"SMARCE1","IFT74"
"SMARCE1","SMARCB1"
"SMARCE1","TFIP11"
"SMARCE1","OIP5"
"SMARCE1","RELB"
"SMARCE1","KLF1"
"SMARCE1","MEOX2"
"SMARCE1","SMARCD2"
"SMARCE1","BCL7A"
"SMARCE1","VDR"
"SMARCE1","CHD4"
"SMARCE1","NR3C1"
"SMARCE1","AMOTL2"
"SMARCE1","CEP70"
"SMARCE1","HDAC1"
"SMARCE1","WBP4"
"SMARCE1","NCOA3"
"SMARCE1","NUP153"
"SMARCE1","MED1"
"SMARCE1","SMARCA4"
"SMARCE1","CCDC136"
"SMARCE1","KRT34"
"SMARCE1","NR0B2"
"SMARCE1","RINT1"
"SMARCE1","STX11"
"SMARCE1","MDM2"
"SMARCE1","MED4"
"SMARCE1","HAUS2"
"SMARCE1","CDR2"
"SMARCE1","KIFC3"
"SMARCE1","SS18"
"SMARCE1","IFITM3"
"SMARCE1","PARP1"
"SMARCE1","MIPOL1"
"SMARCE1","EPS8"
"SMARCE1","MED21"
"SMARCE1","TNIK"
"SMARCE1","ETS2"
"SMARCE1","SMARCAD1"
"SMARCE1","PBRM1"
"SMARCE1","ANAPC10"
"SMARCE1","GTF2A1"
"SMARCE1","GOLGA2"
"SMARCE1","CHAF1A"
"SMARCE1","FOS"
"SMARCE1","SMAD1"
"SMARCE1","CHD7"
"SMARCE1","KRT19"
"SMARCE1","KRT15"
"SMARCE1","SMARCC1"
"SMARCE1","JAKMIP2"
"SMARCE1","JUN"
"SMARCE1","MRFAP1L1"
"SMARCE1","EXOC7"
"SMARCE1","IKZF1"
"SMARCE1","KRT14"
"SMARCE1","ARID2"
"SMARCE1","TUBB"
"SMARCE1","TCF4"
"SMARCE1","KPNA5"
"SMARCE1","SRC"
"SMARCE1","GTF2E2"
"SMARCE1","HIST1H3D"
"SMARCE1","ARC"
"SMARCE1","CALM1"
"SMARCE1","CCHCR1"
"SMARCE1","KRT40"
"GSDMB","PEBP1"
"GSDMB","HIVEP1"
"GSDMB","IGFBP2"
"GSDMB","AGT"
"GSDMB","APP"
"GSDMB","SERPINA1"
"GSDMB","ORM1"
"PPP2R3A","GTSE1"
"PPP2R3A","CDC6"
"PPP2R3A","SFRP4"
"PPP2R3A","TPTE2"
"PPP2R3A","NKD1"
"PPP2R3A","WTIP"
"PPP2R3A","CEP170"
"PPP2R3A","EGFR"
"PPP2R3A","INPPL1"
"PPP2R3A","ATR"
"PPP2R3A","HMGB1"
"PPP2R3A","POU5F1"
"FERMT2","PICALM"
"FERMT2","ITGB5"
"FERMT2","CEP128"
"FERMT2","FERMT1"
"FERMT2","MAPK3"
"FERMT2","TBCB"
"FERMT2","GBP1"
"FERMT2","CAPNS1"
"FERMT2","GINS2"
"FERMT2","SEPT11"
"FERMT2","APP"
"FERMT2","CENPJ"
"FERMT2","NADK2"
"FERMT2","ZYX"
"FERMT2","DFFA"
"FERMT2","FBLIM1"
"FERMT2","ALDH7A1"
"FERMT2","ILK"
"FERMT2","SNRPD1"
"FERMT2","CTNNB1"
"FERMT2","CEP19"
"FERMT2","TMEM17"
"FERMT2","TCF4"
"FERMT2","NTRK1"
"DHRS9","CHIC2"
"DHRS9","SLC16A10"
"DHRS9","MSH6"
"DHRS9","DCLRE1B"
"DHRS9","RCL1"
"DHRS9","SLC2A8"
"DHRS9","RANBP2"
"DHRS9","EMB"
"DHRS9","TRAF6"
"DHRS9","GALNT11"
"DHRS9","NAP1L1"
"DHRS9","GLMP"
"PTGS2","MAPK3"
"PTGS2","CAV1"
"PTGS2","COPS7A"
"PTGS2","ZFP36"
"PTGS2","DERL1"
"PTGS2","CUL4A"
"PTGS2","ERBB2"
"PTGS2","APP"
"PTGS2","AGTR1"
"PTGS2","LRRK2"
"IGF2BP2","PABPN1"
"IGF2BP2","CCP110"
"IGF2BP2","CNTRL"
"IGF2BP2","MYC"
"IGF2BP2","ARRB1"
"IGF2BP2","SAV1"
"IGF2BP2","MAPK13"
"IGF2BP2","IGF2BP1"
"IGF2BP2","VCAM1"
"IGF2BP2","JUN"
"ST6GAL1","HOOK2"
"ST6GAL1","ARFGEF3"
"ST6GAL1","HEATR3"
"ST6GAL1","PRMT9"
"ST6GAL1","SAAL1"
"ST6GAL1","CEL"
"ST6GAL1","GLMN"
"ST6GAL1","HLA-C"
"TBX21","GATA3"
"FRY","FRYL"
"FRY","CDC20"
"FRY","MYC"
"PICALM","GTSE1"
"PICALM","ACTB"
"PICALM","DDX1"
"PICALM","EPS15"
"PICALM","MYH9"
"PICALM","CPPED1"
"PICALM","ILVBL"
"PICALM","DBN1"
"PICALM","ITGA4"
"PICALM","FN1"
"PICALM","PLCG1"
"PICALM","STXBP1"
"PICALM","STAMBPL1"
"PICALM","BMP2K"
"PICALM","PELI2"
"PICALM","EGFR"
"PICALM","ITGB1"
"PICALM","EEF1A1"
"PICALM","RBPMS"
"PICALM","VCAM1"
"PICALM","CASP3"
"PICALM","SLC25A32"
"PICALM","ILK"
"PICALM","DDIT3"
"PICALM","CLTB"
"PICALM","ITLN1"
"PICALM","MYO6"
"PICALM","NTRK1"
"PPP2R2C","SERTAD4"
"PPP2R2C","PPP2CB"
"PPP2R2C","BAG2"
"PPP2R2C","ACLY"
"PPP2R2C","CCT6B"
"PPP2R2C","TBCD"
"PPP2R2C","PPP2R2B"
"PPP2R2C","IER5"
"PPP2R2C","CDCA4"
"PPP2R2C","PPP2R2D"
"PPP2R2C","LCK"
"PPP2R2C","LONP1"
"PPP2R2C","ATAD3A"
"PPP2R2C","PPP2R2A"
"TEAD2","KIF22"
"TEAD2","NCOA1"
"TEAD2","ZFHX4"
"TEAD2","TGM1"
"TEAD2","BTAF1"
"TEAD2","H2AFY2"
"TEAD2","HIRA"
"TEAD2","MYBL2"
"TEAD2","SMARCA1"
"TEAD2","USP11"
"TEAD2","VGLL1"
"TEAD2","TRPS1"
"TEAD2","USF2"
"TEAD2","DLX5"
"TEAD2","MPDZ"
"TEAD2","SMC3"
"TEAD2","CHD4"
"TEAD2","NR3C1"
"TEAD2","AMOTL2"
"TEAD2","SATB2"
"TEAD2","TBX2"
"TEAD2","DDX39A"
"TEAD2","HOXC13"
"TEAD2","AMOT"
"TEAD2","HOXD13"
"TEAD2","CHD1L"
"TEAD2","ORC3"
"TEAD2","TFCP2"
"TEAD2","DCUN1D5"
"TEAD2","YAP1"
"TEAD2","TP53BP2"
"TEAD2","VGLL4"
"TEAD2","LATS2"
"TEAD2","SMARCA5"
"TEAD2","UBN2"
"TEAD2","HOXB13"
"TEAD2","RUNX1"
"TEAD2","CHAF1B"
"TEAD2","LRWD1"
"TEAD2","AMOTL1"
"TEAD2","CHAF1A"
"TEAD2","ZEB2"
"TEAD2","NR2F1"
"TEAD2","ARID3B"
"TEAD2","RCC1"
"TEAD2","NR2F2"
"TEAD2","BCL2L15"
"TEAD2","TEAD4"
"TEAD2","BAZ1A"
"TEAD2","VGLL3"
"EED","ITGAE"
"EED","DNMT3B"
"EED","RBBP7"
"EED","TSC22D1"
"EED","SMPD3"
"EED","DNAJC2"
"EED","EZH2"
"EED","CDKN1B"
"EED","NOP2"
"EED","RRP9"
"EED","ITGA4"
"EED","HDAC1"
"EED","PHF19"
"EED","DNMT3A"
"EED","DNMT1"
"EED","CTSL"
"EED","HLX"
"EED","TGS1"
"EED","AEBP2"
"EED","ITGB7"
"EED","CUL4A"
"EED","MAP1LC3B"
"EED","MTF2"
"EED","SELENBP1"
"EED","DTL"
"EED","S100A7"
"EED","CUL4B"
"EED","DUSP23"
